"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Coltivirus Colorado tick fever virus",0,0,0,0,1,0,0,0,0,1,0,0,0,"Virus","RNA virus","ds"
"Conchoderma auritum",0,0,0,0,1,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Maxillopoda"
"Conchoderma virgatum",0,0,0,0,1,0,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Maxillopoda"
"Concinnum ten",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Contracaecum margolisi",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Contracaecum ogmorhini",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Contracaecum osculatum",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Contracaecum spiculigerum",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Contracaecum turgidum",0,0,0,0,1,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Controrchis biliophilus",0,0,0,0,0,0,0,0,0,0,1,0,1,"Helminth","Platyhelminthes","Trematoda"
"Cooperia acutispiculum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia connochaeti",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia fuelleborni",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia hungi",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia neitzi",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia oncophora",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia pectinata",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia punctata",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
